solution,best_heuristic,second_best_heuristic
0111010000,LH3,LH4
1100010100,LH3,LH4
0010000111,LH2,LH3
0100110001,LH1,LH2
0100100011,LH3,LH4
0110100010,LH3,LH4
0001010110,LH3,LH4
0100001110,LH1,LH3
0010101010,LH3,LH4
0001110001,LH1,LH3
0111000100,LH1,LH3
0100011010,LH1,LH4
0110011000,LH3,LH4
0110000110,LH3,LH4
0010001101,LH1,LH3
1010001100,LH1,LH3
1001010010,LH2,LH3
1101000100,LH1,LH3
0010010110,LH3,LH4
1100000011,LH1,LH3
1100000110,LH1,LH3
1001010001,LH3,LH4
0010011001,LH3,LH4
1000011001,LH2,LH3
1010100100,LH3,LH4
0101000110,LH3,LH4
0111000100,LH2,LH3
1000001110,LH1,LH4
0111010000,LH3,LH4
1000010110,LH1,LH4
1010101000,LH3,LH4
0111001000,LH1,LH2
0000110011,LH2,LH3
0010001011,LH1,LH2
1001000011,LH1,LH3
1100100010,LH3,LH4
0011001001,LH3,LH4
0100010101,LH3,LH4
1000010011,LH3,LH4
1011100000,LH1,LH2
1000100011,LH1,LH3
0010101001,LH1,LH3
0100100110,LH3,LH4
0000011101,LH3,LH4
1000001011,LH3,LH4
1010010010,LH3,LH4
0100010110,LH1,LH3
1010000011,LH1,LH3
1110010000,LH2,LH3
1000100011,LH1,LH2
0010011010,LH2,LH3
1010000011,LH1,LH3
0010100011,LH1,LH2
0101100001,LH1,LH2
0010101001,LH1,LH3
0101000110,LH3,LH4
0100000111,LH1,LH2
1100000110,LH2,LH3
0001111000,LH4,LH1
0010101001,LH1,LH3
0011100100,LH1,LH3
0000101110,LH3,LH4
0100001011,LH1,LH3
0011010010,LH3,LH4
0001001101,LH3,LH4
1011001000,LH3,LH4
0001010101,LH3,LH4
1000101010,LH2,LH3
1101000100,LH3,LH4
0010100011,LH1,LH3
0110110000,LH1,LH3
0001010101,LH3,LH4
1001101000,LH3,LH4
1100000110,LH1,LH3
0000100111,LH3,LH4
1010010100,LH3,LH4
0011100001,LH1,LH3
0101001001,LH1,LH3
0000011110,LH1,LH4
1110000100,LH1,LH3
0010100011,LH3,LH4
1001000101,LH3,LH4
1010001010,LH3,LH4
0111001000,LH3,LH4
0010001101,LH1,LH3
0000010111,LH3,LH4
0000101110,LH3,LH4
1000110100,LH4,LH2
0000101101,LH3,LH4
1101001000,LH2,LH3
0000011110,LH2,LH4
1000111000,LH4,LH1
1001100100,LH3,LH4
0010100110,LH1,LH3
0100101010,LH3,LH4
1000011100,LH3,LH4
0000111010,LH2,LH3
0010110001,LH1,LH2
1000010011,LH3,LH4
0101010001,LH1,LH3
0101000110,LH1,LH2
0011110000,LH3,LH4
0010101001,LH1,LH3
1000101100,LH4,LH1
0110100100,LH1,LH3
1001011000,LH3,LH4
1001011000,LH3,LH4
0110000011,LH1,LH3
0010011001,LH3,LH4
0000101101,LH1,LH3
1001110000,LH3,LH4
1000011010,LH3,LH4
1100010001,LH3,LH4
1100010100,LH1,LH3
0110000011,LH1,LH3
1110000001,LH1,LH3
1100010001,LH3,LH4
0010100011,LH1,LH3
0001110100,LH3,LH4
0110000110,LH1,LH3
0001100101,LH1,LH3
1010101000,LH2,LH3
1010010010,LH2,LH3
1001000011,LH1,LH3
1110000100,LH1,LH3
0111010000,LH3,LH4
0011000011,LH3,LH4
0100110010,LH3,LH4
0010011010,LH1,LH2
1101001000,LH3,LH4
0000001111,LH1,LH2
1010000110,LH2,LH3
1000010011,LH3,LH4
1111000000,LH3,LH4
0010011001,LH3,LH4
1001000110,LH3,LH4
1001010001,LH1,LH3
0001111000,LH4,LH1
0011100001,LH3,LH4
1100001100,LH1,LH2
0010101100,LH1,LH3
1010100001,LH1,LH2
1001001001,LH2,LH3
0100011100,LH1,LH3
0011100001,LH1,LH3
0001110001,LH3,LH4
0000010111,LH3,LH4
0011000101,LH1,LH2
1110001000,LH3,LH4
1001110000,LH3,LH4
0110100001,LH1,LH3
0111000100,LH1,LH3
0100101010,LH3,LH4
0101001100,LH1,LH3
0000111100,LH3,LH4
0100110100,LH3,LH4
0001000111,LH3,LH4
0110000011,LH3,LH4
1010110000,LH1,LH3
1110000001,LH1,LH3
0011010010,LH3,LH4
1100010001,LH3,LH4
1100000110,LH1,LH3
0001100011,LH1,LH3
1100001001,LH1,LH3
1110000010,LH1,LH3
0010010101,LH3,LH4
1000110100,LH4,LH2
0001100101,LH1,LH3
1010101000,LH2,LH3
1100010001,LH2,LH3
0101001001,LH2,LH3
0110001010,LH1,LH3
0010100110,LH3,LH4
0010011100,LH1,LH3
0101101000,LH3,LH4
0000111001,LH3,LH4
1001010010,LH3,LH4
1110000010,LH3,LH4
0110110000,LH1,LH3
0100001110,LH1,LH3
1000001110,LH1,LH4
1001110000,LH3,LH4
1010010010,LH2,LH3
0000111100,LH1,LH3
0010110010,LH3,LH4
1000010011,LH3,LH4
1001011000,LH3,LH4
1110001000,LH3,LH4
0100101100,LH3,LH4
0110000110,LH3,LH4
1110000010,LH3,LH4
0001011010,LH4,LH1
1101001000,LH3,LH4
0110001010,LH1,LH2
0010110010,LH3,LH4
0001110100,LH1,LH3
0010011001,LH3,LH4
1010001010,LH1,LH3
0000001111,LH3,LH4
0011101000,LH1,LH2
0101001100,LH1,LH3
1000110010,LH1,LH3
1101010000,LH3,LH4
1101000001,LH1,LH3
1110000100,LH1,LH3
0010011001,LH2,LH3
1010010100,LH3,LH4
1100100010,LH3,LH4
1010100001,LH1,LH3
0101110000,LH2,LH3
1010011000,LH2,LH3
1100001001,LH1,LH3
1101000100,LH1,LH3
1100010010,LH4,LH3
0110010010,LH3,LH4
1101100000,LH2,LH3
1000101001,LH3,LH4
1100010100,LH3,LH4
1011010000,LH3,LH4
0011011000,LH1,LH2
1100100010,LH1,LH2
0010001101,LH2,LH3
0100110100,LH3,LH4
1011000010,LH1,LH3
0000001111,LH3,LH4
1010000101,LH3,LH4
0110010010,LH3,LH4
0101000101,LH3,LH4
0001011100,LH1,LH2
1000110010,LH2,LH3
1000101001,LH1,LH3
1001011000,LH2,LH3
0111001000,LH3,LH4
0100101100,LH1,LH2
1110000010,LH1,LH3
0101100100,LH3,LH4
1101000100,LH1,LH3
1100011000,LH3,LH4
0001001110,LH1,LH3
0001011100,LH1,LH2
1010100010,LH1,LH3
1110010000,LH3,LH4
0010111000,LH1,LH4
0011110000,LH2,LH3
0100011100,LH1,LH3
0101001001,LH1,LH2
1000101010,LH1,LH3
0100001110,LH1,LH3
0010011001,LH3,LH4
1000101100,LH1,LH4
1010000110,LH3,LH4
0001011010,LH4,LH3
0100111000,LH1,LH4
0000011110,LH1,LH4
0010111000,LH1,LH4
1100001100,LH1,LH3
0001001011,LH1,LH2
1010000110,LH3,LH4
1001001001,LH1,LH3
1001101000,LH2,LH3
1010000110,LH2,LH3
0000011110,LH4,LH1
0101001001,LH3,LH4
1100100001,LH3,LH4
0000110101,LH3,LH4
0110100001,LH3,LH4
1000111000,LH1,LH2
1001100010,LH3,LH4
1010001100,LH3,LH4
0100101001,LH3,LH4
0100111000,LH1,LH4
0011000011,LH3,LH4
0011001100,LH3,LH4
1110000010,LH1,LH3
0001101001,LH3,LH4
0001000111,LH3,LH4
1001001010,LH2,LH3
0101010001,LH1,LH2
1001001001,LH1,LH3
0100011010,LH4,LH1
0001011100,LH1,LH2
0000100111,LH1,LH2
1100100010,LH3,LH4
0110110000,LH3,LH4
0000011101,LH1,LH2
0001101010,LH3,LH4
0110000110,LH1,LH3
0010100110,LH3,LH4
1001110000,LH2,LH3
1011001000,LH3,LH4
0100000111,LH1,LH3
1001001010,LH1,LH3
1011000001,LH1,LH2
1000010011,LH3,LH4
0011000110,LH1,LH2
0000101101,LH3,LH4
0011110000,LH3,LH4
0001011001,LH3,LH4
0101110000,LH3,LH4
1010011000,LH1,LH3
1000001101,LH2,LH3
0011010001,LH3,LH4
0010100110,LH3,LH4
0110100001,LH1,LH3
0011100100,LH3,LH4
0100001110,LH3,LH4
1010001010,LH2,LH3
0101001010,LH1,LH2
1100000011,LH1,LH3
1010010100,LH3,LH4
0101100100,LH3,LH4
1010001001,LH3,LH4
0000101110,LH3,LH4
1111000000,LH1,LH3
1101100000,LH3,LH4
0010100011,LH1,LH3
0000011110,LH4,LH1
1010100001,LH3,LH4
0001101100,LH3,LH4
0101001100,LH2,LH3
1000110001,LH3,LH4
0011000110,LH1,LH2
0110000101,LH1,LH3
0100101010,LH3,LH4
0110001100,LH1,LH3
0101001100,LH1,LH2
1001100100,LH1,LH3
0100110010,LH3,LH4
1000010011,LH3,LH4
0011001010,LH1,LH3
0010011001,LH3,LH4
1101000100,LH2,LH3
0010010110,LH1,LH3
0010111000,LH4,LH3
0101110000,LH3,LH4
1001100001,LH1,LH3
1000001101,LH3,LH4
0011000011,LH3,LH4
1000110010,LH1,LH3
